zipcode,num_households,agi_1_per,agi_2_per,agi_3_per,agi_4_per,agi_5_per,agi_6_per,mean_agi,state_avg_home_price,Real_estate_tax_rate,population,density,State
99501,8640,0.344907407,0.265046296,0.142361111,0.076388889,0.111111111,0.060185185,2.524305556,270400,1.19,17058,979.2,AK
99502,12350,0.271255061,0.221052632,0.150607287,0.108502024,0.187044534,0.061538462,2.903643725,270400,1.19,24671,529.2,AK
99503,8650,0.336416185,0.297109827,0.158381503,0.080924855,0.093641618,0.033526012,2.398843931,270400,1.19,13221,271.9,AK
99504,20100,0.3039801,0.265174129,0.15920398,0.105472637,0.144776119,0.021393035,2.586069652,270400,1.19,42504,2480.1,AK
99505,2350,0.365957447,0.391489362,0.114893617,0.076595745,0.05106383,0,2.055319149,270400,1.19,6330,104.2,AK
99506,3010,0.355481728,0.408637874,0.136212625,0.056478405,0.043189369,0,2.023255814,270400,1.19,7029,168.9,AK
99507,19570,0.274399591,0.23147675,0.152273889,0.107307103,0.177312213,0.057230455,2.85334696,270400,1.19,38424,666.4,AK
99508,16660,0.366146459,0.284513806,0.140456182,0.079231693,0.099639856,0.030012005,2.351740696,270400,1.19,35605,1994.5,AK
99515,11410,0.262927257,0.190184049,0.141104294,0.106047327,0.218229623,0.08150745,3.070990359,270400,1.19,23402,818.8,AK
99516,9810,0.259938838,0.103975535,0.083588175,0.078491335,0.26401631,0.209989806,3.612640163,270400,1.19,20965,180.5,AK
99517,8670,0.282583622,0.247981546,0.156862745,0.102652826,0.143021915,0.066897347,2.776239908,270400,1.19,16405,1961.8,AK
99518,5380,0.269516729,0.250929368,0.172862454,0.118959108,0.157992565,0.029739777,2.734200743,270400,1.19,10450,1044.5,AK
99540,140,0.357142857,0.214285714,0.214285714,0,0.214285714,0,2.5,270400,1.19,284,2.4,AK
99556,1080,0.37962963,0.222222222,0.138888889,0.101851852,0.12962963,0.027777778,2.462962963,270400,1.19,2640,2.7,AK
99567,4290,0.272727273,0.165501166,0.135198135,0.118881119,0.244755245,0.062937063,3.086247086,270400,1.19,9181,5.8,AK
99568,130,0.384615385,0.230769231,0.230769231,0,0.153846154,0,2.307692308,270400,1.19,315,5.6,AK
99572,190,0.263157895,0.263157895,0.157894737,0.105263158,0.210526316,0,2.736842105,270400,1.19,580,0.8,AK
99573,440,0.409090909,0.204545455,0.136363636,0.113636364,0.136363636,0,2.363636364,270400,1.19,540,0.1,AK
99577,13350,0.237453184,0.16928839,0.140074906,0.121348315,0.256179775,0.075655431,3.216479401,270400,1.19,28308,46.3,AK
99586,230,0.391304348,0.217391304,0.173913043,0.086956522,0.130434783,0,2.347826087,270400,1.19,302,0.1,AK
99588,680,0.338235294,0.220588235,0.161764706,0.117647059,0.161764706,0,2.544117647,270400,1.19,803,0.2,AK
99603,5480,0.361313869,0.222627737,0.140510949,0.098540146,0.140510949,0.03649635,2.54379562,270400,1.19,10509,3.5,AK
99605,100,0.4,0.3,0.3,0,0,0,1.9,270400,1.19,95,0.3,AK
99610,1180,0.338983051,0.203389831,0.161016949,0.101694915,0.152542373,0.042372881,2.652542373,270400,1.19,1899,0.9,AK
99611,6620,0.31570997,0.203927492,0.135951662,0.113293051,0.17673716,0.054380665,2.794561934,270400,1.19,15657,17.9,AK
99615,6470,0.295208655,0.273570325,0.157650696,0.100463679,0.142194745,0.030911901,2.613601236,270400,1.19,12971,1.2,AK
99631,140,0.357142857,0.214285714,0.142857143,0.142857143,0.142857143,0,2.5,270400,1.19,357,0.2,AK
99639,590,0.372881356,0.186440678,0.169491525,0.118644068,0.152542373,0,2.491525424,270400,1.19,1036,2,AK
99645,13150,0.306463878,0.179467681,0.146007605,0.118631179,0.20608365,0.043346008,2.868441065,270400,1.19,30450,22,AK
99654,14490,0.302277433,0.194616977,0.142857143,0.115942029,0.203588682,0.040717736,2.846100759,270400,1.19,62135,40.4,AK
99664,2310,0.316017316,0.242424242,0.151515152,0.112554113,0.151515152,0.025974026,2.619047619,270400,1.19,4575,0.7,AK
99669,7890,0.305449937,0.191381496,0.138149556,0.116603295,0.187579214,0.060836502,2.871989861,270400,1.19,16249,22.6,AK
99672,1670,0.317365269,0.185628743,0.143712575,0.113772455,0.185628743,0.053892216,2.826347305,270400,1.19,3435,5,AK
99674,630,0.317460317,0.222222222,0.174603175,0.126984127,0.158730159,0,2.587301587,270400,1.19,1444,0.5,AK
99676,930,0.387096774,0.225806452,0.129032258,0.107526882,0.11827957,0.032258065,2.440860215,270400,1.19,1353,0.6,AK
99686,2130,0.286384977,0.178403756,0.136150235,0.117370892,0.215962441,0.0657277,2.995305164,270400,1.19,3870,0.5,AK
99688,1320,0.333333333,0.21969697,0.166666667,0.113636364,0.136363636,0.03030303,2.590909091,270400,1.19,2624,0.7,AK
99701,8620,0.328306265,0.29350348,0.153132251,0.093967517,0.112529002,0.018561485,2.424593968,270400,1.19,17510,1.7,AK
99702,1420,0.373239437,0.338028169,0.133802817,0.084507042,0.070422535,0,2.14084507,270400,1.19,3006,63.3,AK
99703,3910,0.398976982,0.401534527,0.117647059,0.04859335,0.033248082,0,1.915601023,270400,1.19,8859,311.4,AK
99705,9430,0.25980912,0.224814422,0.167550371,0.128313892,0.200424178,0.019088017,2.841993637,270400,1.19,22944,81.3,AK
99709,11210,0.298840321,0.214986619,0.141837645,0.112399643,0.183764496,0.048171276,2.811775201,270400,1.19,30428,22.6,AK
99712,4550,0.265934066,0.186813187,0.145054945,0.118681319,0.232967033,0.050549451,3.017582418,270400,1.19,14489,1.5,AK
99714,460,0.282608696,0.173913043,0.195652174,0.130434783,0.217391304,0,2.826086957,270400,1.19,1204,1.5,AK
99737,1910,0.298429319,0.204188482,0.151832461,0.130890052,0.193717277,0.020942408,2.780104712,270400,1.19,4821,0.5,AK
99743,600,0.3,0.183333333,0.15,0.116666667,0.216666667,0.033333333,2.866666667,270400,1.19,1041,0.1,AK
99760,380,0.394736842,0.184210526,0.157894737,0.078947368,0.184210526,0,2.473684211,270400,1.19,605,0.1,AK
99780,790,0.367088608,0.240506329,0.151898734,0.113924051,0.126582278,0,2.392405063,270400,1.19,1559,0.5,AK
99801,12260,0.28548124,0.207993475,0.150897227,0.117455139,0.199021207,0.039151713,2.853996737,270400,1.19,30106,5.1,AK
99824,1180,0.220338983,0.228813559,0.169491525,0.13559322,0.194915254,0.050847458,3.008474576,270400,1.19,2224,472,AK
99827,1300,0.384615385,0.246153846,0.138461538,0.1,0.115384615,0.015384615,2.361538462,270400,1.19,2565,0.6,AK
99835,4570,0.319474836,0.24726477,0.148796499,0.107221007,0.144420131,0.032822757,2.608315098,270400,1.19,8738,2.1,AK
99901,6420,0.331775701,0.23364486,0.14953271,0.101246106,0.146417445,0.037383178,2.609034268,270400,1.19,13818,1.1,AK
35004,5110,0.291585127,0.264187867,0.189823875,0.121330724,0.121330724,0.011741683,2.5518591,142700,0.41,11762,222.8,AL
35005,3260,0.414110429,0.300613497,0.150306748,0.076687117,0.058282209,0,2.064417178,142700,0.41,7528,89.3,AL
35006,1230,0.349593496,0.276422764,0.154471545,0.105691057,0.113821138,0,2.357723577,142700,0.41,2927,12.1,AL
35007,12170,0.34264585,0.221857025,0.151191454,0.118323747,0.146261298,0.019720624,2.562859491,142700,0.41,26328,270.8,AL
35010,8160,0.469362745,0.265931373,0.109068627,0.066176471,0.067401961,0.022058824,2.0625,142700,0.41,20625,36.9,AL
35014,1610,0.409937888,0.291925466,0.130434783,0.086956522,0.068322981,0.01242236,2.149068323,142700,0.41,4780,18.4,AL
35016,7010,0.402282454,0.236804565,0.148359486,0.094151213,0.102710414,0.015691869,2.305278174,142700,0.41,16112,87.1,AL
35019,890,0.426966292,0.280898876,0.146067416,0.06741573,0.078651685,0,2.08988764,142700,0.41,1991,27.3,AL
35020,9570,0.609195402,0.271682341,0.077324974,0.024033438,0.017763845,0,1.569487983,142700,0.41,26345,549.4,AL
35022,9770,0.336745138,0.237461617,0.16171955,0.10542477,0.139201638,0.019447288,2.531218014,142700,0.41,20271,111.3,AL
35023,10280,0.36381323,0.288910506,0.155642023,0.090466926,0.093385214,0.007782101,2.284046693,142700,0.41,24293,108.7,AL
35031,2900,0.431034483,0.286206897,0.137931034,0.075862069,0.062068966,0.006896552,2.072413793,142700,0.41,8060,23.7,AL
35033,1320,0.340909091,0.272727273,0.151515152,0.113636364,0.098484848,0.022727273,2.424242424,142700,0.41,3107,17.3,AL
35034,1410,0.510638298,0.262411348,0.106382979,0.056737589,0.063829787,0,1.90070922,142700,0.41,6030,19.9,AL
35035,550,0.4,0.236363636,0.163636364,0.072727273,0.127272727,0,2.290909091,142700,0.41,1179,8.6,AL
35040,7470,0.311914324,0.271753681,0.186077644,0.109772423,0.109772423,0.010709505,2.465863454,142700,0.41,17141,75.7,AL
35042,2250,0.417777778,0.257777778,0.142222222,0.08,0.088888889,0.013333333,2.204444444,142700,0.41,5961,15,AL
35043,4800,0.260416667,0.164583333,0.135416667,0.13125,0.258333333,0.05,3.1125,142700,0.41,11461,77.7,AL
35044,3120,0.467948718,0.253205128,0.125,0.070512821,0.073717949,0.009615385,2.057692308,142700,0.41,7351,51.6,AL
35045,5550,0.437837838,0.254054054,0.135135135,0.079279279,0.082882883,0.010810811,2.147747748,142700,0.41,14778,48.2,AL
35046,2370,0.379746835,0.261603376,0.139240506,0.097046414,0.105485232,0.016877637,2.337552743,142700,0.41,4641,14.7,AL
35049,1530,0.346405229,0.274509804,0.169934641,0.104575163,0.104575163,0,2.346405229,142700,0.41,3366,36.4,AL
35051,3310,0.392749245,0.232628399,0.120845921,0.099697885,0.120845921,0.033232628,2.422960725,142700,0.41,9000,31.4,AL
35053,1040,0.355769231,0.240384615,0.144230769,0.105769231,0.125,0.028846154,2.490384615,142700,0.41,2519,21.1,AL
35054,1780,0.359550562,0.213483146,0.134831461,0.112359551,0.146067416,0.033707865,2.573033708,142700,0.41,3777,60.6,AL
35055,7910,0.396965866,0.266750948,0.134007585,0.087231353,0.092288243,0.022756005,2.279393173,142700,0.41,20884,117.1,AL
35057,5180,0.38996139,0.252895753,0.146718147,0.090733591,0.098455598,0.021235521,2.318532819,142700,0.41,13542,38.4,AL
35058,4290,0.405594406,0.263403263,0.142191142,0.086247086,0.083916084,0.018648019,2.235431235,142700,0.41,9234,55.8,AL
35061,650,0.476923077,0.292307692,0.123076923,0.046153846,0.061538462,0,1.923076923,142700,0.41,1212,282.8,AL
35062,3240,0.348765432,0.234567901,0.160493827,0.111111111,0.132716049,0.012345679,2.481481481,142700,0.41,7631,68.4,AL
35063,1210,0.41322314,0.280991736,0.148760331,0.090909091,0.066115702,0,2.115702479,142700,0.41,3671,38.1,AL
35064,4520,0.517699115,0.28539823,0.10619469,0.044247788,0.046460177,0,1.816371681,142700,0.41,11171,1077.7,AL
35068,3720,0.333333333,0.306451613,0.182795699,0.088709677,0.077956989,0.010752688,2.303763441,142700,0.41,8072,199.4,AL
35071,7440,0.311827957,0.237903226,0.161290323,0.11155914,0.15188172,0.025537634,2.630376344,142700,0.41,16181,106,AL
35072,1780,0.443820225,0.320224719,0.112359551,0.078651685,0.04494382,0,1.960674157,142700,0.41,4901,10.6,AL
35073,970,0.412371134,0.309278351,0.154639175,0.072164948,0.051546392,0,2.041237113,142700,0.41,2396,34.7,AL
35077,5130,0.423001949,0.282651072,0.138401559,0.083820663,0.064327485,0.007797271,2.107212476,142700,0.41,13547,33.7,AL
35078,920,0.423913043,0.27173913,0.108695652,0.086956522,0.108695652,0,2.184782609,142700,0.41,1919,18.5,AL
35079,3440,0.328488372,0.247093023,0.180232558,0.127906977,0.10755814,0.00872093,2.465116279,142700,0.41,9267,32.1,AL
35080,7690,0.266579974,0.180754226,0.162548765,0.137841352,0.21976593,0.032509753,2.960988296,142700,0.41,17889,140.6,AL
35083,1200,0.408333333,0.3,0.141666667,0.066666667,0.083333333,0,2.116666667,142700,0.41,3353,34.6,AL
35085,3310,0.413897281,0.271903323,0.13897281,0.084592145,0.081570997,0.009063444,2.175226586,142700,0.41,9116,33.1,AL
35087,820,0.5,0.243902439,0.12195122,0.073170732,0.06097561,0,1.951219512,142700,0.41,2253,36.4,AL
35089,730,0.479452055,0.328767123,0.109589041,0.04109589,0.04109589,0,1.835616438,142700,0.41,2034,12.5,AL
35091,1180,0.271186441,0.161016949,0.161016949,0.161016949,0.228813559,0.016949153,2.966101695,142700,0.41,3072,159.9,AL
35094,6370,0.368916797,0.25588697,0.152276295,0.092621664,0.108320251,0.021978022,2.381475667,142700,0.41,14438,95.2,AL
35096,3350,0.379104478,0.265671642,0.155223881,0.101492537,0.086567164,0.011940299,2.286567164,142700,0.41,7610,38.3,AL
35097,770,0.337662338,0.25974026,0.207792208,0.103896104,0.090909091,0,2.350649351,142700,0.41,2004,85.7,AL
35098,550,0.418181818,0.218181818,0.163636364,0.109090909,0.090909091,0,2.236363636,142700,0.41,1068,17.6,AL
35111,6880,0.273255814,0.216569767,0.175872093,0.13372093,0.180232558,0.020348837,2.792151163,142700,0.41,16893,97.1,AL
35114,2970,0.306397306,0.195286195,0.144781145,0.117845118,0.208754209,0.026936027,2.808080808,142700,0.41,8624,223.3,AL
35115,5240,0.444656489,0.246183206,0.133587786,0.080152672,0.082061069,0.013358779,2.148854962,142700,0.41,15105,43.7,AL
35116,2000,0.315,0.235,0.155,0.125,0.145,0.025,2.625,142700,0.41,4372,73.9,AL
35117,2630,0.266159696,0.239543726,0.171102662,0.136882129,0.163498099,0.022813688,2.760456274,142700,0.41,5235,77.6,AL
35118,1320,0.363636364,0.272727273,0.151515152,0.113636364,0.098484848,0,2.310606061,142700,0.41,3040,32.6,AL
35120,5960,0.343959732,0.251677852,0.172818792,0.110738255,0.109060403,0.011744966,2.424496644,142700,0.41,14055,79.2,AL
35121,5860,0.409556314,0.26109215,0.14334471,0.081911263,0.081911263,0.0221843,2.232081911,142700,0.41,15426,41.8,AL
35124,11630,0.292347377,0.211521926,0.152192605,0.114359415,0.177987962,0.051590714,2.8288908,142700,0.41,24438,213.9,AL
35125,4470,0.434004474,0.272930649,0.138702461,0.078299776,0.067114094,0.008948546,2.098434004,142700,0.41,10941,85,AL
35126,9560,0.332635983,0.25209205,0.165271967,0.112970711,0.124476987,0.012552301,2.482217573,142700,0.41,20825,144,AL
35127,4360,0.332568807,0.277522936,0.174311927,0.098623853,0.107798165,0.009174312,2.399082569,142700,0.41,10185,397.8,AL
35128,4120,0.344660194,0.233009709,0.148058252,0.109223301,0.138349515,0.026699029,2.54368932,142700,0.41,10651,61.5,AL
